Infinite Flight Livery Name,Color 1,Color 2,Color 3
Airbus,#d2d5d4,#bd3843,#abbd57
Etihad Airways,#f7f8f6,#e13532,#0d121f
Aer Lingus,#f8f8f7,#91be4d,#326a7c
Afriqiyah Airways,#f6f7f5,#6896c4,#30333a
Airbus Factory Carbon,#f4f4f3,#162033,#858787
Asiana Airlines,#212b71,#be3258,#d8ba4c
Emirates,#e81d3f,#f7f7f3,#219854
Ethiopian Airlines,#537749,#ddc14f,#a33d3a
Evelop Airlines,#f7f7f5,#8890c2,#479697
Finnair,#f7f7f5,#1a2f6a,#1e336c
FrenchBee,#f7f7f5,#92e1f0,#325595
Generic,#f8f8f7,#f9f9f7,#f9f9f7
ITA Airways,#4274c7,#35666b,#84313e
Infinite Flight - 10 Year Anniversary,#1c1d25,#f79725,#f6f7f5
Infinite Flight - 2019,#1c1d25,#f79725,#f6f7f5
Airbus,#f8f9f6,#252c48,#be3b48
Malaysia Airlines,#22226a,#d53330,#f5e554
TAM Airlines,#f6f7f5,#d2332f,#3d7ec1
Thai Airways - Star Alliance,#212935,#f9f9f9,#40305c
Vietnam Airlines,#418aad,#c38f47,#b8b8aa
Airbus,#0dbfd7,#cab69e,#e8eaea
Airbus,#eb8325,#324dac,#e6e7e9
ANA - Lani,#0ca7e6,#324dae,#e5e8e8
Emirates - 1999,#f12843,#e1e4e7,#2c7e4e
Emirates - 2023,#e0203d,#edf1f2,#35c965
Emirates - 50th Anniversary,#ef3250,#e2e6e8,#2c7b4f
Etihad Airways - Choose UK,#e5ac25,#9ed8da,#b76752
Etihad Airways,#b78337,#f1ece4,#5a4d57
Global Airlines,#e4e7ea,#e72550,#324896
Airbus,#09e0e9,#e8eaeb,#1640da
Lufthansa - 2018,#e9eaec,#091d4d,#091d4d
AirTran - Atlanta Falcons,#121313,#a52628,#fbfbf9
Bangkok Air,#f7f7f5,#c49f61,#32436d
Boeing,#f5f7f8,#92ddf6,#386dcd
MexicanaClick,#f9f9f7,#5ecdf1,#19436e
Quantum Air,#f9f9f7,#dc3c36,#dc3c36
Spanair,#f9f8f7,#1803af,#e0662f
AirTran,#f4f4f3,#2344b6,#3b6d7e
BBJ - Black and Purple,#f0f1f0,#8988c7,#2b3274
BBJ - Gold and Red,#b88452,#793833,#f2f2f1
BBJ - Grey and Black,#98998a,#363b48,#f4f4f2
BBJ - Infinite Flight - 2014,#e8ac4c,#99d9e9,#f1f1f0
BBJ - Infinite Flight - 2015,#d79e6f,#94d1e4,#f0f0ef
BBJ - Infinite Flight - 2018,#1c1d25,#f79725,#f6f7f5
BBJ - US Air Force,#f4f5f3,#6e95bd,#d0bb71
Bahamasair,#f5f6f6,#87add1,#f2b766
GOL - 2019,#f4f5f6,#e3874f,#acb3bb
Southwest - Desert Gold,#ccb580,#c9423c,#e8ebed
Southwest - Heart,#2144c8,#eccc5f,#cf363f
Southwest - Illinois One,#425aa4,#7f414a,#d7b666
Southwest - Shamu,#1d2336,#989a96,#4a57d8
Aerolineas Argentinas,#1899db,#d6d7d3,#babebc
Air Canada,#d2d3ce,#2a2927,#e54541
Air India Express,#e4e5e1,#824229,#38a5da
Akasa Air,#e3e4e0,#533293,#f27125
Alaska Airlines,#295699,#247bb3,#a6d27b
Allegiant Air,#ffffff,#2d78c8,#f58646
American Airlines,#aaadac,#d93139,#209edd
Arajet,#e3e4e1,#5a3684,#8dbb7a
Asky Airlines,#e4e4e1,#5d4545,#de9e3b
Batik Air Malaysia,#cc2a35,#383372,#c19743
Boeing,#e6e7e3,#f5e632,#27313b
Caribbean Airlines,#e8e8e4,#c65db2,#cd4342
Cayman Airways,#f0df6a,#325796,#ed3e57
Copa Airlines,#e8ebec,#1d3a88,#84713d
Ethiopian,#46913a,#e8c737,#b22b32
Boeing,#e4e5e1,#1d2028,#a24f47
Flair Airlines,#e0e1dd,#1d2027,#ace89b
flydubai,#e5e6e2,#3756b3,#f29036
Boeing,#dbddda,#f88a37,#bcbdb6
Jeju Air,#e4e4e1,#ed936b,#6fcfe6
Malta Air,#e5e6e2,#f33243,#d8b320
Norwegian Air Sweden,#e7e8e3,#c22937,#35387e
Oman Air,#e7e8e4,#bea86d,#227299
Ryanair,#e4e5e1,#1745ab,#e8c750
Shandong Airlines,#e0e0dc,#26527c,#ec8746
Southwest Airlines,#314bc2,#f0d333,#cd2e3b
Spicejet,#e2e3de,#df1e2b,#e8e839
SunExpress,#e3e4df,#1f3d87,#e86732
Virgin Australia,#e6e6e2,#a21b1c,#656665
American Airlines - Astrojet,#a9b9d1,#644358,#1a1c20
American Airlines - Old,#464b53,#29379e,#773e3e
American Airlines - TWA,#d5d8db,#723d55,#394861
AnadoluJet,#e8ebee,#c83b44,#283971
Arik Air,#eff1f2,#62253f,#2c406f
Boeing,#f1f3f4,#4828a6,#9c9b5f
British Airways - Comair,#edeff0,#b8313b,#263762
Corendon Airlines,#f2f3f4,#df2939,#f5f6f5
flydubai,#f0f2f3,#2c5eb2,#e0a45b
Flybondi,#f5f6f7,#f3d53d,#f4d73d
GOL - 2018,#eff1f3,#ce7b42,#9296a4
JAL Express,#f2f4f5,#202a43,#7d485d
Jet 2 holidays,#eef0f2,#d47a4f,#3059a5
Boeing,#84d953,#aab8ca,#87de54
Boeing,#e1804a,#baca53,#3d4b60
Pegasus Airlines,#f2f3f4,#bb4147,#9a7c56
REX Airlines,#f3f4f6,#2d4775,#744953
Southwest - Canyon Blue,#444fda,#d46372,#b1a75c
Sun Country Airlines,#df7652,#f1f3f4,#263c73
Sunwing Airlines,#f2f3f4,#d35a44,#e7e9ed
Boeing,#f0f2f4,#cf3d9f,#eff1f3
TUIFly,#f0e481,#d0363c,#e6eaed
Thomson,#84c5e5,#ad5c75,#202b46
