Infinite Flight Livery Name,Color 1,Color 2,Color 3
175th Wing Warfield ANG,#a5b4b7,#3f413f,#a4b3b6
188th Wing Fort Smith ANG,#c7d6d9,#e7493f,#434e71
25th FS Osan AB,#b8c0c0,#58785d,#373936
303rd FS Whiteman AFB,#c8d7d9,#c5d4d6,#c4d2d5
343rd Wing Eielson AFB,#848367,#607473,#5b5e63
354th FS Davis-Mothan AFB,#b7bfc0,#b8c1c0,#4a92d9
66th WS Nellis AFB,#bacace,#bacace,#f7e474
75th FS Moody AFB,#cddadc,#cddadc,#cddadc
Arctic Camo,#798499,#fafbf9,#474846
Armament,#7d807a,#7d807a,#7d807a
Default,#79807b,#79807b,#79807b
Tanks / Armament,#7c807a,#7c807a,#7c807a
Tanks,#797f7a,#797f7a,#797f7a
Belgian Air Component,#192033,#d6d9d9,#8c9298
Blue Angels Fat Albert,#3d548a,#e7d36f,#e5e8e8
Egypt Air Force,#cab181,#eeeee4,#424f64
LAN,#e4e9eb,#e4e9eb,#e4e9eb
US Navy,#989a9b,#989a9b,#989a9b
Indian Air Force,#c4c5c0,#ecc086,#70c88d
Royal Air Force of Oman,#778078,#c4bdac,#c4a788
Royal Canadian Air Force,#a5abaf,#a5abaf,#a5abaf
Royal Danish Air Force,#929ea6,#929ea6,#d7475d
USAF Little Rock AFB,#808d9e,#808d9e,#808d9e
RAF - 50 Years Anniversary,#80837b,#5e77b7,#db7c86
RAF,#9b9783,#9b9783,#9b9783
No match found,#f1f1f0,#bc5842,#72e0f0
USAF - Hurricane Hunter,#a9b4bf,#a9b4bf,#a9b4bf
USAF - Moody AFB,#5a606d,#5a606d,#686b6c
Avensa,#519ee5,#fbfbf9,#f9f9f7
Canadian Airlines International,#112041,#dc3839,#f9f9f7
Continental Airlines,#f7f7f5,#a6a9a5,#25376d
National Airlines,#f9f9f7,#e65e3c,#e9c747
10 Air Tanker Carrier,#f3f4f2,#a84b22,#a84b22
Arrow Air,#fbfbf9,#87d074,#163aa8
Avient,#152eb6,#59a1d2,#a8555d
DAS Air Cargo,#cf2f23,#ebd149,#300804
Emery Worldwide,#3c5f4b,#b13533,#f8f9f6
Gemini Air Cargo,#112256,#e7c845,#fafaf8
KC-10 Extender USAF,#999ea1,#999ea1,#999ea1
KDC-10 Royal Netherlands Air Force,#99a7b3,#98a3ad,#c6cac8
Kelowna Flightcraft Air Charter,#f4f5f2,#d93b3a,#2b65b0
Solar Cargo,#133576,#c73435,#efda4d
Infinite Flight - Retro,#23335f,#e9ecee,#e7dbb1
Private,#212f52,#eceae2,#8f6745
Aeroflot Cargo,#d0d2cf,#c9422e,#1b2b51
Centurion Air Cargo,#eeefec,#96313e,#e1ab57
Martinair Cargo,#334e7c,#e8e9e8,#d4414a
VARIG LOG,#edeeec,#dfbd71,#2e4b87
World Airways,#f2f3f2,#ae353d,#2b406d
